"","Latitude","Longitude","Place","As","Cr","Zn"
"274",32.98416,-115.19943,"El Centro",3.3,5,26
"275",32.77804,-115.88967,"El Centro",2.9,4,31
"276",34.54944,-120.07659,"Santa Maria",8.5,30,85
"277",34.20843,-114.78924,"Needles",6.1,32,206
"278",34.07818,-115.34405,"Needles",2.1,9,53
"279",34.95132,-116.8382,"San Bernardino",43.9,5,94
"280",34.82458,-116.6929,"San Bernardino",18.9,19,165
"281",35.74832,-115.69873,"Kingman",7.3,27,55
"282",34.58931,-116.7925,"San Bernardino",3.1,17,68
"283",35.30075,-115.30875,"Kingman",2.1,15,67
"284",35.17021,-115.69474,"Kingman",4.5,45,64
"285",34.96781,-117.18869,"San Bernardino",5.5,26,45
"286",34.96891,-116.11867,"San Bernardino",3.2,22,46
"287",33.69017,-115.69511,"Salton Sea",3.2,19,89
"288",34.3878,-117.37364,"San Bernardino",1.8,30,40
"289",34.63802,-116.0583,"San Bernardino",6.7,22,52
"290",35.21519,-115.3827,"Kingman",3.2,34,86
"291",33.08525,-114.91894,"Salton Sea",13.6,19,45
"292",35.07912,-114.77168,"Kingman",3.2,22,106
"293",35.91659,-115.89645,"Kingman",8.9,67,88
"294",34.83898,-116.10262,"San Bernardino",13.3,47,67
"295",33.23474,-115.08555,"Salton Sea",6.2,29,56
"296",33.40207,-115.13872,"Salton Sea",3.7,34,64
"297",34.37392,-114.48819,"Needles",11.9,23,66
"298",33.32439,-115.3455,"Salton Sea",3.6,20,94
"299",35.02991,-115.1832,"Kingman",41.3,18,70
"300",35.29544,-115.17503,"Kingman",7.3,38,72
"301",33.02089,-114.58458,"Salton Sea",13.2,39,85
"302",33.72272,-115.22349,"Salton Sea",2.1,16,47
"303",35.67944,-115.48448,"Kingman",9.8,12,48
"304",34.59632,-115.22505,"Needles",4,30,104
"305",33.68949,-115.41666,"Salton Sea",2.5,24,68
"306",35.38099,-115.47437,"Kingman",5.3,22,88
"307",34.83213,-116.36749,"San Bernardino",17.9,30,59
"308",33.47387,-114.96663,"Salton Sea",3.7,25,52
"309",34.16614,-115.62103,"Needles",2.7,18,51
"310",33.78088,-115.93035,"Salton Sea",2.8,96,132
"311",34.77718,-117.35952,"San Bernardino",4.3,18,41
"312",34.55797,-116.69092,"San Bernardino",2.8,31,73
"313",34.91977,-116.48461,"San Bernardino",2.1,18,37
"314",35.274,-115.05327,"Kingman",5.3,35,89
"315",35.77581,-115.89518,"Kingman",3.9,23,240
"316",34.77615,-117.06051,"San Bernardino",2.4,35,85
"317",34.78473,-114.58499,"Needles",4,43,63
"318",34.43547,-114.45421,"Needles",13,85,162
"319",33.51676,-115.66502,"Salton Sea",25.8,80,68
"320",34.6352,-116.58769,"San Bernardino",8.6,21,55
"321",34.91891,-117.77312,"San Bernardino",4.1,6,27
"322",34.18818,-116.87828,"San Bernardino",0.7,61,82
"323",35.44997,-115.33401,"Kingman",4.1,14,56
"324",33.13473,-115.26368,"Salton Sea",9.4,31,46
"325",34.57245,-116.90375,"San Bernardino",3.4,69,70
"326",35.69243,-115.62226,"Kingman",17.5,18,56
"327",33.12694,-115.94643,"Salton Sea",3.3,5,33
"328",35.22858,-115.94978,"Kingman",3.5,15,44
"329",34.72554,-116.5658,"San Bernardino",40.9,37,54
"330",34.70138,-117.39811,"San Bernardino",5.7,60,73
"331",33.41299,-115.46998,"Salton Sea",4.3,16,82
"332",34.63736,-117.54124,"San Bernardino",8.9,41,58
"333",34.94363,-116.24627,"San Bernardino",4,41,84
"334",34.44622,-117.73255,"San Bernardino",3.5,19,69
"335",34.76253,-117.4542,"San Bernardino",5,37,54
"336",34.5502,-117.12281,"San Bernardino",2.3,40,67
"337",35.1219,-115.40367,"Kingman",2,46,63
"338",33.7809,-115.41697,"Salton Sea",2.3,33,74
"339",34.78445,-114.60392,"Needles",5.6,60,115
"340",34.49047,-117.28284,"San Bernardino",2.1,43,67
"341",34.39494,-115.24624,"Needles",3.6,18,62
"342",33.25432,-115.42113,"Salton Sea",8.8,23,68
"343",33.09487,-115.07134,"Salton Sea",16.8,23,43
"344",34.6421,-117.14553,"San Bernardino",19.9,47,104
"345",35.44386,-115.98211,"Kingman",12.9,31,87
"346",34.69032,-117.80806,"San Bernardino",2.4,22,52
"347",34.89522,-117.43865,"San Bernardino",4.7,28,43
"348",33.43913,-115.22798,"Salton Sea",13.3,27,82
"349",34.70817,-114.51595,"Needles",4.7,71,84
"350",34.96554,-116.7664,"San Bernardino",13.2,49,67
"351",34.87333,-117.37659,"San Bernardino",8.8,48,55
"352",34.55964,-117.40287,"San Bernardino",4.7,50,382
"353",34.88687,-114.73764,"Needles",8.4,63,121
